Descripción del alimento principal,Descripción de la categoría,Energía (kcal),Proteína (g),Carbohidratos (g),"Azúcares, totales
(gramo)",Fibra dietética total (g),Grasa total (g),"Ácidos grasos, saturados totales (g)","Ácidos grasos, monoinsaturados totales (g)",Ácidos grasos poliinsaturados totales (g),Colesterol (mg),Retinol (mcg),"Vitamina A, RAE (mcg_RAE)","Caroteno, alfa (mcg)","Caroteno, beta (mcg)","Criptoxantina, beta (mcg)",Licopeno (mcg),Luteína + zeaxantina (mcg),Tiamina (mg),Riboflavina (mg),Niacina (mg),Vitamina B-6 (mg),Ácido fólico (mcg),"Folato, alimentos (mcg)","Folato, DFE (mcg_DFE)","Folato, total (mcg)","Colina, total (mg)",Vitamina B-12 (mcg),"Vitamina B-12, añadida
(mcg)",Vitamina C (mg),Vitamina D (D2 + D3) (mcg),Vitamina E (alfa-tocoferol) (mg),"Vitamina E, añadida
(mg)",Vitamina K (filoquinona) (mcg),Calcio (mg),Fósforo (mg),Magnesio (mg),"Hierro
(mg)","Zinc
(mg)",Cobre (mg),Selenio (mcg),Potasio (mg),Sodio (mg),Cafeína (mg),Teobromina (mg),Alcohol (gramos),"4:0
(gramo)","6:0
(gramo)","8:0
(gramo)","10:0
(gramo)","12:0
(gramo)","14:0
(gramo)","16:0
(gramo)","18:0
(gramo)","16:1
(gramo)","18:1
(gramo)","20:1
(gramo)","22:1
(gramo)","18:2
(gramo)","18:3
(gramo)","18:4
(gramo)","20:4
(gramo)","20:5 n-3
(gramo)","22:5 n-3
(gramo)","22:6 n-3
(gramo)","Agua
(gramo)"
Adobo con arroz,Platos combinados de aves,181,"17,69","8,86","0,03","0,2","7,94","2,58",3607,1022,75,4,4,0,0,0,0,0,"0,242","0,213",3589,"0,25",17,4,33,21,"59,2","0,44",0,0,"0,4","0,21",0,0,18,161,21,"1,34","2,54","0,096","24,6",216,522,0,0,0,0,0,0,"0,005","0,004","0,074",1749,"0,722","0,366","3,196","0,041",0,"0,909","0,05",0,"0,041",0,0,0,"63,34"
Adobo,Platos combinados de aves,172,"16,89","8,14","0,03","0,4","7,66","2,479",3469,"0,973",72,4,4,0,0,0,0,0,"0,192","0,204",3059,"0,216",0,3,3,3,"57,1","0,43",0,0,"0,3","0,2",0,0,15,149,18,"0,99","2,39","0,085","23,1",200,510,0,0,0,0,0,0,"0,004","0,004","0,071",1677,"0,697","0,353",3072,"0,04",0,"0,867","0,046",0,"0,04",0,0,0,"65,27"
Agua de coco,Bebidas de frutas,37,"0,21","9,07","8,78",0,"0,02",0,0,0,0,0,0,0,0,0,0,0,"0,028","0,001",0,0,0,0,0,0,0,0,0,"9,4",0,0,0,0,7,5,6,"0,03","0,02","0,008",0,157,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"90,22"
agua mineral dura,Cerveza,24,"0,07","0,55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,001","0,004","0,08","0,007",0,1,1,1,"1,6",0,0,0,0,0,0,0,4,2,2,"0,01","0,08","0,007","0,1",6,17,0,0,"3,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"96,12"
agua,agua bebe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"99,9"
Agua,Agua aromatizada o carbonatada,0,"0,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,"0,04",0,"0,025",0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"99,8"
Aguacate,agua del grifo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,"0,01","0,01",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"99,9"
Agujeros de rosquilla,agua mejorada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3384,"0,338",0,0,0,0,0,"1,02","1,02","10,2",0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"99,17"
Ajo,agua mejorada,22,0,"5,49","5,49",0,0,0,0,0,0,32,32,0,0,0,0,0,0,0,"0,844","0,084",8,0,14,8,0,"0,25","0,25","12,7",0,"1,9","1,9",0,17,0,3,0,"0,32","0,007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"94,44"
Albahaca,Agua aromatizada o carbonatada,1,0,"0,13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"99,85"
Albaricoque,Agua aromatizada o carbonatada,34,0,"8,8","8,8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0,01","0,1","0,006",0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"91,1"
Albóndiga,"Donuts, panecillos dulces, bollería.",426,"5,52","49,52","23,51","1,8","22,86",9852,7567,3601,20,4,4,0,2,0,0,27,"0,336","0,232",2648,"0,041",69,27,144,96,"31,8","0,08",0,"0,6",0,"1,63",0,"10,3",69,178,16,"2,36","0,54","0,086","12,5",113,378,0,0,0,0,0,"0,012","0,018","0,113","0,213",8027,1318,"0,044",7471,"0,046",0,3359,"0,223",0,"0,008",0,0,"0,005","20,62"
Albóndigas al estilo puertorriqueño,Mostaza y otros condimentos.,142,"6,58","28,03","0,99","2,7","0,38","0,088","0,011","0,248",0,0,0,0,4,0,0,14,"0,179","0,104","0,661","1,166",0,2,2,2,"23,1",0,0,8,0,"0,08",0,"1,7",180,152,25,"1,69","1,15","0,297","9,7",399,248,0,0,0,0,0,0,"0,002",0,0,"0,086",0,0,"0,011",0,0,"0,228","0,02",0,0,0,0,0,"62,73"
Albóndigas suecas con nata o salsa blanca,Mostaza y otros condimentos.,143,"6,62","28,2",1,"2,7","0,38","0,089","0,011","0,249",0,0,0,0,5,0,0,16,"0,2","0,11","0,7",1235,0,3,3,3,"23,2",0,0,10,0,"0,08",0,"1,7",181,153,25,"1,7","1,16","0,299","9,8",401,17,0,0,0,0,0,0,"0,002",0,0,"0,087",0,0,"0,011",0,0,"0,229","0,02",0,0,0,0,0,"63,1"
Albóndigas,No incluido en una categoría de alimentos.,23,"3,15","2,65","0,3","1,6","0,64","0,041","0,088","0,389",0,0,264,0,3142,46,0,5650,"0,034","0,076","0,902","0,155",0,68,68,68,"11,4",0,0,18,0,"0,8",0,"414,8",177,56,64,"3,17","0,81","0,385","0,3",295,4,0,0,0,0,0,0,0,0,0,"0,036","0,005",0,"0,088",0,0,"0,073","0,316",0,0,0,0,0,"92,06"
Alcachofa,frutos secos,241,"3,39","62,64","53,44","7,3","0,51","0,017","0,074","0,074",0,0,180,0,2163,0,0,0,"0,015","0,074",2589,"0,143",0,10,10,10,"13,9",0,0,1,0,"4,33",0,"3,1",55,71,32,"2,66","0,39","0,343","2,2",1162,10,0,0,0,0,0,0,0,0,0,"0,017",0,0,"0,074",0,0,"0,074",0,0,0,0,0,0,"30,89"
Alcachofas,Productos alternativos a la soja y la carne,197,21,8,"1,25","4,6",9,1425,"2,188",4666,0,0,0,0,0,0,0,0,"0,938","0,213","2,5","0,2",0,78,78,78,"88,4","1,5","1,5",0,0,"1,73",0,0,25,344,18,"2,16","1,8","0,706","0,8",180,550,0,0,0,0,0,0,0,"0,087","0,043","0,925","0,369",0,"2,188",0,0,"4,146","0,52",0,0,0,0,0,58
Alce,platos combinados de carne,225,"14,33","6,9","1,69","0,8","15,31","4,22",6458,2876,64,11,17,0,69,2,3688,36,"0,104","0,163","3,116","0,166",5,10,19,15,"57,2","0,92",0,"2,5","0,3","1,74",0,"7,6",26,151,20,"1,85","2,74","0,094","14,1",324,922,0,0,0,0,0,0,"0,004","0,009","0,271","2,53","1,23","0,339",5982,"0,066",0,2505,"0,313",0,"0,031","0,001","0,006",0,"60,4"
Algas marinas en escabeche,platos combinados de carne,170,"12,48","6,29","2,46","0,2","10,3",4535,3965,"0,495",64,38,38,0,6,1,0,27,"0,071","0,171",2557,"0,185",4,9,15,13,"52,3","1,18",0,"0,2","0,2","0,18",0,"1,2",55,133,15,"1,42","2,66","0,049","11,8",204,537,0,0,0,"0,065","0,053","0,033","0,079","0,096","0,484","2,249",1322,"0,305",3384,"0,027",0,"0,42","0,021",0,"0,022","0,001","0,002",0,"69,05"
Algas secas,platos combinados de carne,143,"12,22","6,28","1,22","0,4","7,51",2882,3184,"0,403",48,9,9,0,1,1,0,24,"0,064","0,129",2554,"0,168",4,9,16,13,"44,6","1,06",0,"0,4","0,1","0,11",0,"0,7",42,116,13,"1,53","2,74","0,081","10,9",199,499,0,0,0,"0,001",0,"0,001","0,001","0,012","0,19",1505,1081,"0,257","2,71","0,024",0,"0,345","0,021",0,"0,016",0,0,0,"72,24"
Algas,platos combinados de carne,186,"18,02","0,15","0,07",0,"12,02",4556,5282,"0,501",97,19,19,0,0,1,0,49,"0,038","0,154",3341,"0,245",0,12,12,12,"78,9","1,86",0,0,"0,2","0,18",0,"1,1",22,145,15,"1,79","4,19","0,055","17,1",212,801,0,0,0,0,0,0,0,"0,008","0,32","2,597",1394,"0,425",4559,"0,035",0,"0,392","0,038",0,"0,031",0,"0,001",0,"67,54"
Alita de pollo,Otras verduras y combinaciones,53,"2,89","11,95","0,99","5,7","0,34","0,079","0,011","0,145",0,0,1,0,8,0,0,464,"0,05","0,089","1,11","0,081",0,89,89,89,"34,4",0,0,"7,4",0,"0,19",0,"14,8",21,73,42,"0,61","0,4","0,127","0,2",286,60,0,0,0,0,0,0,0,"0,004","0,004","0,066","0,006",0,"0,011",0,0,"0,105","0,038",0,0,0,0,0,"84,08"
Alitas de pollo asadas con salsa,No incluido en una categoría de alimentos.,298,"31,84","52,39","3,04","5,6","4,01",1356,"0,351",1091,0,0,14,0,171,0,0,0,"1,195",1946,6511,"0,334",0,337,337,337,"64,6",0,0,5,0,5,0,25,372,85,482,"24,95","3,9",3355,"7,3",1244,575,0,0,0,0,0,0,0,0,"0,039",1276,"0,04","0,168","0,178","0,004",0,"0,629","0,412",0,"0,005","0,044",0,0,"6,68"
Alitas de pollo asadas sin salsa,Otras verduras y combinaciones,63,"3,41","7,71","0,57","0,7","3,06","0,816","0,973","0,861",2,11,99,0,1052,0,0,0,"0,061","0,254",1088,"0,064",0,144,144,144,"12,2",0,0,"12,4",0,"1,31",0,"26,5",126,59,74,"2,21","0,86","0,219","0,7",161,382,0,0,0,"0,018","0,013","0,007","0,017","0,02","0,078","0,458","0,169","0,024","0,917","0,021",0,"0,668","0,084","0,001","0,015","0,088",0,0,"80,11"
Alitas de pollo salteadas,Otras verduras y combinaciones,41,"3,51","7,94","0,58","0,7","0,49","0,146","0,06","0,125",0,0,90,0,1079,0,0,0,"0,062","0,262","1,121","0,049",0,148,148,148,"12,4",0,0,"12,8",0,"0,96",0,"25,1",129,60,77,"2,28","0,89","0,226","0,7",165,384,0,0,0,0,0,0,0,0,"0,014","0,092","0,032","0,01","0,038","0,01",0,"0,011","0,002","0,001","0,014","0,09",0,0,"82,2"
Almejas fritas,"Pollo, piezas enteras",323,"17,77",15,"0,1","0,3","21,28",4983,"9,943",4684,94,14,14,0,0,0,0,5,"0,149","0,231",5656,"0,16",24,9,49,32,"68,8","0,38",0,0,"0,1","1,57",0,"5,2",61,187,22,"1,29","1,13","0,077","24,2",221,843,0,0,0,0,0,"0,003","0,005","0,009","0,144","3,349",1292,"0,68",8998,"0,165","0,014","3,999","0,556","0,002","0,056","0,002","0,006","0,003","43,09"
Almejas,"Pollo, piezas enteras",247,"22,6",0,0,0,"16,69",4673,6548,3552,69,40,40,0,0,0,0,0,"0,04","0,102",4584,"0,218",0,3,3,3,"50,9","0,18",0,0,"0,1","0,27",0,"0,2",12,120,16,"1,12","1,62","0,046","18,4",138,374,0,0,0,0,0,0,0,"0,02","0,139",3472,"0,933","0,883",5397,"0,188",0,3056,"0,129",0,"0,129","0,02","0,03","0,05","61,69"
Almendras saladas,"Pollo, piezas enteras",264,"23,08",0,0,0,"18,35",5093,8316,"4,244",137,12,12,0,0,0,0,0,"0,063","0,148",6132,"0,541",0,9,9,9,108,"0,34",0,0,"0,2","1,05",0,"2,3",18,143,18,"0,82","1,59","0,04","24,7",206,478,0,0,0,0,0,0,"0,007","0,008","0,096",3958,"0,956",1089,7062,"0,111","0,002",3794,"0,247","0,004","0,095","0,004","0,012","0,006","57,64"
Almendras tostadas con miel,"Pollo, piezas enteras",257,"23,42","0,6","0,6",0,"18,04",4627,7332,"2,177",129,26,26,0,0,0,0,0,"0,078","0,161",7454,"0,212",0,8,8,8,"58,2","0,45",0,0,0,"0,12",0,0,33,251,23,"0,93","1,57","0,057","38,2",285,579,0,0,0,0,0,0,0,0,"0,094","3,7","0,823","1,164",6098,"0,043",0,"2,02","0,106",0,"0,028",0,0,0,"57,23"
Almendras,"Pollo, piezas enteras",252,"23,6",0,0,0,"16,74","4,937",7645,3562,140,12,12,0,0,0,0,0,"0,064","0,152","6,27","0,554",0,9,9,9,"110,4","0,35",0,0,"0,2","0,68",0,"0,3",18,146,19,"0,83","1,63","0,041","25,3",210,404,0,0,0,0,0,0,"0,007","0,008","0,097",3852,"0,92","1,106",6385,"0,1","0,002","3,19","0,164","0,004","0,097","0,004","0,012","0,006","58,93"
almíbar simple,Mariscos,86,"14,67","3,57",0,0,"0,96","0,187","0,12","0,192",30,90,90,0,0,0,0,0,"0,015","0,04","0,35","0,01",0,5,5,5,65,"11,28",0,0,0,"0,68",0,"0,2",39,198,19,"1,62","0,51","0,053","30,6",46,56,0,0,0,0,0,0,0,"0,004","0,008","0,11","0,05","0,02","0,06","0,007",0,"0,042","0,015","0,001","0,011","0,043","0,007","0,064","78,98"
Ambrosía,Mariscos,108,"18,34","4,46",0,0,"1,2","0,234","0,15","0,24",38,101,101,0,0,0,0,0,"0,018","0,048","0,394","0,011",0,5,5,5,"81,2","12,69",0,0,0,"0,85",0,"0,2",49,186,24,"1,82","0,64","0,056","38,2",52,70,0,0,0,0,0,0,0,"0,005","0,01","0,137","0,062","0,025","0,075","0,009",0,"0,053","0,019","0,001","0,014","0,054","0,009","0,08","73,72"
Anacardos,Mariscos,143,"16,14","6,74","0,05","0,1","5,2","0,912",1792,1686,34,98,98,0,2,0,0,2,"0,05","0,059","0,616","0,02",5,5,14,10,"71,2","10,66",0,0,0,"1,46",0,"4,1",45,217,21,"1,95","0,58","0,064","33,4",55,199,0,0,0,"0,008","0,006","0,003","0,008","0,013","0,039","0,578","0,205","0,039",1681,"0,032",0,1358,"0,182","0,001","0,012","0,046","0,008","0,068","69,59"
Ancas de rana,Nueces y semillas,604,"20,23","20,28","4,69","10,5","53,7","4,348",33189,"13,65",0,0,0,0,1,0,0,1,"0,074","1,155","3,51","0,131",0,53,53,53,"50,3",0,0,0,0,"23,63",0,3,259,455,269,"3,6","3,2",1061,"1,9",688,195,0,0,0,0,0,0,0,0,"0,02",3518,"0,765","0,26",32846,"0,027",0,13509,"0,14",0,0,0,0,0,"2,33"
Antipasto con jamón,Nueces y semillas,598,"20,96","21,01","4,86","10,9","52,54",4092,33076,"12,955",0,0,0,0,1,0,0,1,"0,077","1,197",3637,"0,136",0,55,55,55,"52,1",0,0,0,0,"23,9",0,0,268,471,279,"3,73","3,31",1099,2,713,3,0,0,0,0,0,0,0,0,"0,019",3348,"0,704","0,259",32754,"0,007",0,"12,945","0,01",0,0,0,0,0,"2,41"
Apio,Nueces y semillas,607,"20,33","20,38","4,71","10,6","53,96","4,37",33355,"13,719",0,0,0,0,1,0,0,1,"0,075","1,161",3528,"0,132",0,53,53,53,"50,5",0,0,0,0,"23,75",0,3,260,457,271,"3,62","3,21",1066,"1,9",692,3,0,0,0,0,0,0,0,0,"0,02",3535,"0,769","0,262","33,01","0,027",0,13577,"0,141",0,0,0,0,0,"2,34"
Arándanos enlatados,Nueces y semillas,581,"14,78","31,55","4,84","2,9","47,72",9237,27631,"8,71",0,0,0,0,0,0,0,22,"0,193","0,193",1351,"0,247",0,67,67,67,"58,9",0,0,0,0,"1,46",0,"36,5",44,473,251,"5,8","5,4","2,143","11,3",545,208,0,0,0,0,0,"0,127","0,127","0,757","0,336",4486,2954,"0,317",27107,"0,154",0,8408,"0,286",0,0,0,0,0,"1,64"
Arándanos secos,Nueces y semillas,574,"15,31","32,69","5,01",3,"46,35",9157,"27,317",7836,0,0,0,0,0,0,0,23,"0,2","0,2","1,4","0,256",0,69,69,69,61,0,0,0,0,"0,92",0,"34,7",45,490,260,6,"5,6","2,22","11,7",565,16,0,0,0,0,0,"0,132","0,132","0,784","0,347",4351,2972,"0,318",26808,"0,139",0,"7,66","0,161",0,0,0,0,0,"1,7"
Arándanos,Nueces y semillas,578,"14,7","31,4","4,81","2,9","47,48",9191,27494,8666,0,0,0,0,0,0,0,22,"0,192","0,192",1345,"0,246",0,66,66,66,"58,6",0,0,0,0,"1,45",0,"36,3",44,471,250,"5,77","5,38","2,132","11,2",543,399,0,0,0,0,0,"0,127","0,127","0,753","0,335",4464,"2,94","0,316",26973,"0,154",0,8367,"0,284",0,0,0,0,0,"1,64"
Ardilla,Mariscos,220,"14,38","11,72","0,2","0,5","12,4","1,72",5089,"4,702",44,14,14,0,0,0,0,10,"0,236","0,254",1894,"0,095",20,13,46,33,"56,3","0,28",0,0,"0,2","3,01",0,12,28,135,20,"2,03","0,91","0,218","13,8",241,387,0,0,0,0,0,0,0,0,"0,007",1235,"0,38","0,051",4951,"0,079",0,"4,111","0,526",0,"0,024","0,011","0,005","0,015","59,4"
Arepa Dominicana,platos combinados de carne,158,"11,62","3,75","1,51","1,1","10,7",4634,3746,1078,39,54,288,1032,2293,5,0,217,"0,108","0,179","3,36","0,169",0,11,11,11,"28,9","0,5",0,"1,5","0,4","1,03",0,"9,7",178,180,21,"0,8","1,47","0,077","18,9",248,854,0,0,0,"0,104","0,087","0,055","0,139","0,158","0,593","2,4","0,978","0,241",3511,"0,04","0,019","0,779","0,046","0,008","0,028","0,078","0,01","0,129","70,72"
Armadillo,Otras verduras y combinaciones,42,"0,52","3,46","1,4","1,7","2,9","0,76",1005,"0,867",2,12,34,0,272,0,0,280,"0,02","0,057","0,317","0,066",0,32,32,32,"6,6",0,0,"2,7",0,"0,69",0,"32,8",48,23,11,0,"0,09",0,0,276,231,0,0,0,"0,019","0,014","0,008","0,018","0,022","0,07","0,43","0,151","0,016","0,967","0,013",0,"0,78","0,087",0,"0,001",0,0,0,"91,92"
Aros con sabor a cebolla,No incluido en una categoría de alimentos.,18,"0,53","3,57","1,44","1,7","0,17","0,045","0,034","0,085",0,0,22,0,276,0,0,289,"0,02","0,058","0,327","0,05",0,33,33,33,"6,6",0,0,"2,8",0,"0,29",0,"31,5",49,24,12,0,"0,1",0,0,285,104,0,0,0,0,0,0,0,0,"0,001","0,04","0,004","0,001","0,033",0,0,"0,085",0,0,0,0,0,0,"94,84"
Aros de cebolla fritos,Otras verduras y combinaciones,17,"0,49","3,32","1,34","1,6","0,16","0,042","0,032","0,079",0,0,22,0,270,0,0,283,"0,021","0,057","0,32","0,052",0,36,36,36,"6,1",0,0,"3,1",0,"0,27",0,"29,3",46,22,11,0,"0,09",0,0,265,97,0,0,0,0,0,0,0,0,"0,001","0,037","0,004","0,001","0,031",0,0,"0,079",0,0,0,0,0,0,"95,2"
Arroz amarillo,"Aceitunas, encurtidos, verduras encurtidas.",35,"0,41","7,61","5,98","1,3","0,15","0,035","0,027","0,066",0,0,17,0,213,0,0,223,"0,016","0,046","0,252","0,039",0,25,25,25,"5,1",0,0,"2,2",0,"0,22",0,"24,3",40,18,9,0,"0,08","0,001","0,1",220,1025,0,0,0,0,0,0,0,0,"0,001","0,031","0,003","0,001","0,026",0,0,"0,066",0,0,0,0,0,0,"88,45"
Arroz aromatizado,frutos secos,308,"0,17","82,8","72,56","5,3","1,09","0,088","0,298","0,182",0,0,2,0,27,0,0,138,"0,013","0,028","0,548","0,038",0,0,0,0,"8,3",0,0,"0,2",0,"2,1",0,"7,6",9,8,4,"0,39","0,1","0,063","0,6",49,5,0,0,0,0,0,0,"0,014",0,0,"0,034","0,02","0,007","0,277","0,007","0,007","0,159","0,023",0,0,0,0,0,"15,79"
Arroz blanco cocido con grasa al estilo puertorriqueño,Arándanos y otras bayas,51,"0,42","12,17","8,45","2,7","0,64","0,053","0,091","0,279",0,0,2,0,28,0,0,68,"0,032","0,037","0,52","0,059",0,7,7,7,"5,1",0,0,"2,5",0,"0,48",0,"16,4",8,11,5,"0,18","0,07","0,033","0,1",54,1,0,0,0,0,0,0,0,0,0,"0,031","0,011","0,002","0,087",0,0,"0,167","0,112",0,0,0,0,0,"86,59"
Arroz blanco con guisantes y zanahorias,Arándanos y otras bayas,64,"0,7","14,57","9,36","2,4","0,31","0,028","0,047","0,146",0,0,3,0,32,0,0,80,"0,037","0,041","0,418","0,052",0,6,6,6,6,0,0,"8,1",0,"0,57",0,"19,3",12,13,6,"0,34","0,09","0,046","0,1",86,0,0,0,0,0,0,0,0,0,0,"0,017","0,005","0,002","0,047",0,0,"0,088","0,058",0,0,0,0,0,"84,19"
Arroz blanco con guisantes,Arándanos y otras bayas,46,"0,46","11,97","4,27","3,6","0,13","0,008","0,018","0,055",0,0,3,0,38,0,0,91,"0,012","0,02","0,101","0,057",0,1,1,1,"5,5",0,0,14,0,"1,32",0,5,8,11,6,"0,23","0,09","0,056","0,1",80,2,0,0,0,0,0,0,0,0,0,"0,006","0,002","0,001","0,018",0,0,"0,033","0,022",0,0,0,0,0,"87,32"
Arroz blanco con lentejas,frutos secos,317,"2,5",80,"67,5","7,5","2,5","0,2","0,405","1,3",0,0,7,0,84,0,0,208,"0,092","0,127",1154,"0,152",0,12,12,12,"18,5",0,0,"23,8",0,"2,35",0,"59,4",19,36,18,"0,9","0,49","0,16","0,6",214,3,0,0,0,0,0,0,0,0,0,"0,116","0,068","0,005","0,4",0,0,"1,137","0,163",0,0,0,0,0,"14,8"
Arroz blanco con otras verduras,"Cordero, cabra, caza",172,"30,53",0,0,0,"4,65","0,536",1772,"1,67",120,0,0,0,0,0,0,0,"0,06","0,288",4603,"0,367",0,9,9,9,"121,9","6,46",0,0,0,"0,4",0,"1,4",3,209,28,"6,76","1,77","0,147",15,349,425,0,0,0,0,0,0,0,0,"0,02","0,437","0,079","0,139",1558,"0,075",0,1329,"0,03",0,"0,188","0,006","0,015","0,102","61,58"
Arroz blanco con salsa a base de queso y/o nata,"Galletas, muffins, panes rápidos",267,"5,66","30,47","3,25","2,4",14,9083,2457,1448,53,57,62,19,52,2,0,549,"0,176","0,205",1755,"0,087",42,18,89,60,"42,5","0,19",0,"0,8","0,8","0,54",0,"3,3",82,132,28,"2,31","0,74","0,124","10,1",202,399,0,0,0,"0,02","0,065","0,607","0,499","3,81",1588,"1,6","0,853","0,045","2,417","0,006","0,001","1,33","0,081",0,"0,001",0,"0,001",0,"47,94"
Arroz blanco con salsa a base de soja,"Cordero, cabra, caza",159,"28,08",0,0,0,"4,34","1,29",1696,"0,635",76,0,0,0,0,0,0,0,"0,308","0,139","4,177","0,415",0,6,6,6,"116,5","0,69",0,0,0,"0,38",0,"1,4",16,133,27,"1,11","2,99","0,056","12,9",393,367,0,0,0,0,0,0,0,0,"0,05","0,764","0,437","0,218",1478,0,0,"0,496","0,03",0,"0,109",0,0,0,"63,37"
Arroz blanco con tomate y/o salsa a base de tomate,"Tortilla, maíz, otros chips",499,"7,7","65,1","4,83","3,9","22,6","4,34","13,36","3,14",0,2,8,33,51,0,0,879,"0,22","0,31","3,18","0,148",94,16,176,110,"21,3",0,0,"1,8",0,"2,69",0,"5,1",29,72,28,"3,72","0,33","0,118","10,6",143,950,0,0,0,"0,02",0,0,0,"0,04","0,16","2,8","1,31","0,08","13,27",0,0,"3,01","0,13",0,0,0,0,0,2
Arroz blanco con verduras de color verde oscuro y tomate y/o salsa a base de tomate,Arroz,103,"1,76","18,7","0,44","0,4","2,43","0,375",1068,"0,809",0,19,22,0,15,0,0,0,"0,079","0,03","0,878","0,138",20,5,38,25,"2,4",0,0,0,"0,1","0,28",0,"2,4",11,41,29,"0,6","0,31","0,073","2,7",191,351,0,0,0,0,0,0,0,0,"0,001","0,208","0,153","0,002",1062,"0,004",0,"0,65","0,157",0,"0,001",0,"0,001",0,"75,54"
Arroz blanco con verduras de color verde oscuro y tomates y/o salsa a base de tomate,Arroz,88,"1,8","19,1","0,45","0,5","0,45",0,"0,11","0,213",0,0,2,0,0,0,0,0,"0,081","0,029","0,898","0,141",20,5,39,25,"2,2",0,0,0,0,"0,06",0,"0,2",12,42,30,"0,62","0,32","0,075","2,7",195,340,0,0,0,0,0,0,0,0,0,0,0,"0,001","0,109","0,001",0,"0,102","0,109",0,"0,001",0,"0,001",0,"77,09"
Arroz blanco con verduras de color verde oscuro,Arroz,88,"1,8","19,1","0,45","0,5","0,45",0,"0,11","0,213",0,0,2,0,0,0,0,0,"0,081","0,029","0,898","0,141",20,5,39,25,"2,2",0,0,0,0,"0,06",0,"0,2",12,42,30,"0,62","0,32","0,075","2,7",195,340,0,0,0,0,0,0,0,0,0,0,0,"0,001","0,109","0,001",0,"0,102","0,109",0,"0,001",0,"0,001",0,"77,09"
Arroz blanco con verduras y salsa,Platos combinados de arroz,106,"2,72","19,34","0,38","1,1","2,15","0,395","0,919","0,689",0,15,16,0,13,0,0,25,"0,047","0,041",1652,"0,065",0,10,10,10,"7,3",0,0,0,"0,1","0,35",0,"2,4",6,88,37,"0,38","0,95","0,1","2,4",81,292,0,0,0,0,0,0,"0,002","0,001","0,003","0,245","0,129","0,001","0,913","0,004",0,"0,61","0,079",0,0,0,0,0,"74,62"
Arroz blanco con verduras,Arroz,200,"2,84","31,9","0,05","0,5","6,3","0,879","2,642","2,39",0,0,0,0,0,0,0,0,"0,184","0,018",1673,"0,062",62,2,108,65,"2,3",0,0,0,0,"1,19",0,"6,1",14,44,11,"1,64","0,44","0,091",6,44,506,0,0,0,0,0,0,0,0,"0,005","0,644","0,179","0,022",2575,"0,041",0,"2,112","0,276",0,0,0,0,0,"57,33"
Arroz blanco con zanahoria y tomate y/o salsa a base de tomate,Platos combinados de arroz,115,"5,76","22,44","1,35","4,3","0,33","0,064","0,071","0,13",0,0,1,0,12,2,0,7,"0,155","0,045","1,146","0,144",22,93,131,115,18,0,0,"1,3",0,"0,09",0,"2,2",18,111,24,"2,27","0,86","0,161","4,5",217,198,0,0,0,0,0,0,0,0,"0,002","0,055","0,005","0,001","0,069","0,001",0,"0,104","0,025",0,0,0,0,0,"70,32"
Arroz blanco con zanahoria,Platos combinados de arroz,107,"2,36","23,16","0,95","0,7","0,26","0,066","0,07","0,08",0,0,4,6,44,1,0,73,"0,134","0,021",1203,"0,108",41,7,77,48,"3,9",0,0,"6,6",0,"0,1",0,"3,8",14,40,13,1,"0,42","0,07","5,7",76,185,0,0,0,0,0,0,0,0,"0,002","0,059","0,005","0,001","0,069",0,0,"0,064","0,016",0,0,0,0,0,"73,31"
